d4,d100,ODDITY
1,1,Crystal that shatters easily but then instantly reforms.
1,2,Egg-shaped metallic bauble that occasionally spins and speaks in a language no one knows.
1,3,Aerosol can that sprays sparkling paint that hangs in the air.
1,4,Device that emits a projection of a human face that changes expression depending on the direction in which it’s looking.
1,5,"Unknown musical instrument that plays only soft, unpleasant sounds."
1,6,Circular stone plate with a human face that occasionally changes expression or appears to speak (but has no voice).
1,7,Box with a tiny group of musicians in it who play when it is opened and look horrified when it is closed.
1,8,"Remote-controlled dragonfly with a tiny, handheld controller."
1,9,Pants that fit perfectly and never seem to get dirty but are always chilly.
1,10,Blob of clay that takes on various mysterious shapes when left alone.
1,11,Crystal that hums.
1,12,Necklace made of gears and other machine parts.
1,13,Flute with buttons rather than holes so you can play music without blowing into it.
1,14,Lightning bug in a glass globe.
1,15,Plastic disk that displays ever-changing but meaningless symbols.
1,16,Small rod that emits a voice saying the same thing in an unknown language every time a button is pushed.
1,17,"Glass plate that shows what seems to be a live image of the moon, but from a closer vantage."
1,18,Comb that glows when used.
1,19,Small square cage that puts whatever single creature is inside it into stasis.
1,20,Plastic bottle containing a spray that cleans any stain and never runs out.
1,21,Metallic device that creates one sheet of new paper each day.
1,22,Pen that writes in invisible ink revealed only at a very low temperature.
1,23,Tiny toy ornithopter made of a solid piece of material that seems indestructible.
1,24,Fuzzy stuffed ravage bear that makes growling noises when you squeeze it.
1,25,Goggles that tint everything green.
1,26,Series of thin plastic cards that show all kinds of unknown creatures.
1,27,Candle that never runs down.
1,28,Bag of sixteen rubber balloons.
1,29,Three silken gloves with six fingers each.
1,30,Metallic jar that maintains the temperature of liquid inside indefinitely.
1,31,Blue crystal that glows as bright as a candle when held.
1,32,Small coin pouch that holds twice as much as it appears it should.
1,33,Small wand-like device that keeps away normal insects in a 1.5 m radius.
1,34,Unknown plastic device with lights that occasionally blink.
1,35,Powerful magnifying glass.
1,36,"Bag that contains dice, each with a different number of sides."
1,37,Small mirrored cube.
1,38,Piece of extremely strong and thin cable 2.5 m long.
1,39,Feathered hat that occasionally makes bird noises.
1,40,Wooden rod that increases in length by about 2.5 cm a month.
1,41,Brass device with nested circular plates that rotate and click.
1,42,"Cape that billows as if blown by the wind when worn, even in still air."
1,43,"Glass cube that shows what seems to be a live aerial view of an unknown, ruined city."
1,44,Armband that tightens slightly when within 30 m of abhumans.
1,45,Small jar of black paint that refills itself each day.
1,46,Metallic mask that fits perfectly on your face and changes expression when you do.
1,47,"Five metallic plates that orbit around your head and display ever-changing, unknown symbols."
1,48,Green glass sphere that floats next to you and whistles when you are angry.
1,49,Metal canister that fills with 4 quarts (3.8 liters) of water at the same time each day.
1,50,"Metal and glass disk that, when pressed against flesh, instantly etches a tattoo of a black scorpion."
1,51,Small mirror that shows someone other than you when you gaze into it.
1,52,Canister that produces an extremely foul odor and a puff of dark red smoke when opened.
1,53,Goggles that allow you to see perfectly through steam or smoke.
1,54,Box that produces a 3-inch (7.5 cm) cube of a firm but gelatinous substance at the same time each day.
1,55,"Shirt that displays your muscles, bones, and internal organs when you wear it."
1,56,Small leather case of cosmetics that never seem to run out.
1,57,"Amulet that, when worn, projects holographic images of fish swimming around you."
1,58,Bracelet with a tiny bell charm that rings like a massive bell when intentionally rung.
1,59,"Metallic, pointed-toe boots designed to fit an aneen or a similar creature."
1,60,Cup that instantly boils any liquid poured into it.
1,61,Spectacles that project strange images on the lenses so the wearer sees things that are not there.
1,62,"Box of a dozen matchsticks that, when burned, release puffs of lingering smoke that take on the shapes of faces, creatures, or other things."
1,63,"Blanket that makes a pleasant, soft humming noise while covering a living creature."
1,64,"Semicircular device of metal and glass that projects a harmless, thin red beam up to 50 feet (15 m) when activated."
1,65,Two 5-inch (12.7 cm) metal and glass disks that hover around your wrists.
1,66,"Six small, clear synth bags that can be sealed and are very durable."
1,67,Glass orb that always drips perfumed water very slowly.
1,68,"Jar of sixteen seeds; when planted, each seed grows into a daffodil made of gold in six months."
1,69,Rose made of nigh-indestructible glass.
1,70,Octagon-shaped amulet that is black during the day and sky blue at night.
1,71,Mummified fish with feathered wings in a wooden box.
1,72,Two-headed animal fetus in a glass jar.
1,73,"Saddle sized for a very small animal, such as a squirrel or a small cat."
1,74,Small rectangular device that makes a chirping sound at the same time each day.
1,75,"Pair of tiny metal rods that, when brought within 1 inch (2.5 cm) of each other, vibrate exactly fifteen minutes before the sun rises on any given day."
1,76,Ceramic ring that makes you feel as though gentle hands are caressing your body.
